ID PINTURA;CÓDIGO;ARTISTA;TÍTULO;SERIE;PRECIO;DISPONIBLE;AÑO;TÉCNICA;DIMENSIONES;LOCALIZACION / UBICACIÓN;ENMARCADO;AUTENTICADO;DESCRIPCIÓN / OBSERVACIONES;FOTO
211;211;Miguel Pons Tous;Pozo de mi primo Miguel - Montevideo;;0;VERDADERO;1986;Óleo en carton entelado;18 x 24;;FALSO;FALSO;;1
212;212;Miguel Pons Tous;Suburbios de Córdoba;;0;VERDADERO;1977;Óleo en cartón;18 x 24;;FALSO;FALSO;Apunte de viaje;1
213;213;Miguel Pons Tous;Ropa tendida;;0;VERDADERO;1980;Óleo en chapadur;18 x 24;;FALSO;FALSO;;1
214;214;Miguel Pons Tous;Ranchos - Córdoba;;0;VERDADERO;1980;Óleo en chapadur;18 x 24;;FALSO;FALSO;;1
215;215;Miguel Pons Tous;Río Suquía - Córdoba;;0;VERDADERO;1976;Óleo en cartón;18 x 24;;FALSO;FALSO;;1
216;216;Miguel Pons Tous;Basurales - Córdoba;;0;VERDADERO;1980;Óleo en chapadur;18 x 24;;FALSO;FALSO;;1
217;217;Miguel Pons Tous;Cajón del Río Nº2 - Capilla del Monte;;0;VERDADERO;2006;Óleo en cartón entelado;18 x 24;;FALSO;FALSO;;1
218;218;Miguel Pons Tous;Las Tapadas de Vejer - España;;0;VERDADERO;;Óleo en cartón entelado;18 x 24;;FALSO;FALSO;;1
219;219;Miguel Pons Tous;Caracolas;;0;VERDADERO;1983;Óleo en cartón entelado;30 x 40;;FALSO;VERDADERO;;1
220;220;Miguel Pons Tous;Estrella federal;;0;VERDADERO;1967;Óleo en cartón entelado;30 x 40;;FALSO;FALSO;;1
221;221;Miguel Pons Tous;Nuestra Sra del Rosario;;0;VERDADERO;1978;Óleo en cartón entelado;30 x 40;;FALSO;FALSO;;1
222;222;Miguel Pons Tous;Pinar de Montevideo;;0;VERDADERO;2003;Óleo en cartón entelado;30 x 40;;FALSO;FALSO;;1
223;223;Miguel Pons Tous;La Cumbre - Córdoba;;0;VERDADERO;1982;Óleo en chapadur;30 x 50;;FALSO;FALSO;;1
224;224;Miguel Pons Tous;Rancho de Doña Carmen Torres - Santa Catalina - Córdoba;;0;VERDADERO;1984;Óleo en cartón entelado;30 x 50;;FALSO;FALSO;;1
225;225;Miguel Pons Tous;Algarrobos de Calera;;0;VERDADERO;2000;Óleo en cartón entelado;30 x 50;;FALSO;VERDADERO;;1
226;226;Miguel Pons Tous;Algarrobos de Calera - Invierno;;0;VERDADERO;1978;Óleo en cartón entelado;30 x 50;;FALSO;FALSO;;1
227;227;Miguel Pons Tous;Algarrobos de Calera - Tarde lluviosa;;0;VERDADERO;1977;Óleo en cartón entelado;30 x 50;;FALSO;FALSO;;1
228;228;Miguel Pons Tous;El Tajamar - Santa Catalina;;0;VERDADERO;1983;Óleo en cartón entelado;30 x 50;;FALSO;FALSO;;1
229;229;Miguel Pons Tous;Gomeria de barrio;;0;VERDADERO;1984;Óleo en cartón entelado;30 x 50;;FALSO;VERDADERO;;1
230;230;Miguel Pons Tous;Rancho de chapas;;0;VERDADERO;1982;Óleo en cartón entelado;30 x 50;;FALSO;VERDADERO;;1
231;231;Miguel Pons Tous;Rancho de La Pelada - Capilla del Monte - Córdoba;;0;VERDADERO;1986;Óleo en cartón entelado;30 x 50;;FALSO;FALSO;;1
232;232;Miguel Pons Tous;Rancho de Pampa de Oláen - Córdoba;;0;VERDADERO;1984;Óleo en cartón entelado;30 x 50;;FALSO;FALSO;;1
233;233;Miguel Pons Tous;Camino vecinal - Barrio de Córdoba;;0;VERDADERO;1981;Óleo en cartón entelado;30 x 50;;FALSO;FALSO;;1
234;234;Miguel Pons Tous;Flores Silvestres - Villa Allende;;0;VERDADERO;1981;Óleo en chapadur;40 x 50;;FALSO;FALSO;;1
235;235;Miguel Pons Tous;Villa Allende - Córdoba;;0;VERDADERO;1981;Óleo en chapadur;40 x 50;;FALSO;FALSO;;1
236;236;Miguel Pons Tous;Barca en el Lago;;0;VERDADERO;1981;Óleo en cartón entelado;35 x 45;;FALSO;FALSO;;1
237;237;Miguel Pons Tous;Sra de Carrizo;;0;VERDADERO;0;Óleo en chapadur;40 x 50;;FALSO;FALSO;Sin firma / Sin terminar;1
238;238;Miguel Pons Tous;Fondo casa de Marysol;;0;VERDADERO;1977;Óleo en cartón entelado;40 x 50;;FALSO;FALSO;;1
239;239;Miguel Pons Tous;Rural;;0;VERDADERO;1999;Óleo en cartón entelado;35 x 45;;FALSO;FALSO;;1
240;240;Miguel Pons Tous;Dumesnil - Córdoba;;0;VERDADERO;1983;Óleo en cartón entelado;35 x 50;;FALSO;FALSO;;1
241;241;Miguel Pons Tous;Colonia de FACE - Capilla del Monte;;0;VERDADERO;1977;Óleo en cartón entelado;35 x 45;;FALSO;FALSO;;1
242;242;Miguel Pons Tous;El Cajón - Capilla del Monte;;0;VERDADERO;1981;Óleo en cartón entelado;35 x 45;;FALSO;FALSO;puesto en un primer marco blanco;1
243;243;Miguel Pons Tous;Cerro Uritorco - Capilla del Monte;;0;VERDADERO;1977;Óleo en cartón entelado;35 x 45;;FALSO;FALSO;;1
244;244;Miguel Pons Tous;Cardos - Córdoba;;0;VERDADERO;1978;Óleo en cartón entelado;35 x 45;;FALSO;FALSO;;1
245;245;Miguel Pons Tous;San Esteban - Córdoba;;0;VERDADERO;1977;Óleo en cartón entelado;35 x 45;;FALSO;FALSO;;1
246;246;Miguel Pons Tous;Playa de Malvin - Montevideo;;0;VERDADERO;1988;Óleo en cartón entelado;30,5 x 61;;FALSO;VERDADERO;;1
247;247;Miguel Pons Tous;Rancho de Gustavo - Capilla del Monte;Capilla del Monte;0;VERDADERO;1981;Óleo en chapadur;40 x 50;;FALSO;FALSO;;1
248;248;Miguel Pons Tous;Cajón del Río Nº 3 - Capilla del Monte;Capilla del Monte;0;VERDADERO;1980;Óleo en cartón entelado;40 x 50;;FALSO;FALSO;;1
